Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MINI,John Cooper Works Countryman ALL4,MID-SIZE,0.14666666666666667,0.07692307692307693,M6,Z,0.2689393939393939,0.2289156626506024,0.2545454545454545,0.3103448275862069,0.3098591549295775
JEEP,PATRIOT 4X4,SUV - SMALL,0.2,0.07692307692307693,M5,X,0.24242424242424238,0.27710843373493965,0.2545454545454545,0.3103448275862069,0.3098591549295775
CHEVROLET,Tahoe,SUV - STANDARD,0.5866666666666667,0.38461538461538464,A6,X,0.43560606060606055,0.39156626506024084,0.4227272727272728,0.1724137931034483,0.5117370892018779
CHEVROLET,TRAX 4WD,SUV - SMALL,0.06666666666666665,0.07692307692307693,AS6,X,0.20833333333333326,0.21686746987951802,0.2090909090909091,0.3620689655172414,0.255868544600939
VOLKSWAGEN,PASSAT,MID-SIZE,0.12,0.07692307692307693,AS6,X,0.22348484848484845,0.18072289156626506,0.2090909090909091,0.3620689655172414,0.2535211267605634
FORD,F-150,PICKUP TRUCK - STANDARD,0.7066666666666667,0.38461538461538464,AS6,X,0.5340909090909091,0.5361445783132529,0.5363636363636364,0.12068965517241381,0.6338028169014084
BMW,340i,COMPACT,0.28,0.23076923076923078,M6,Z,0.2803030303030303,0.2289156626506024,0.26363636363636367,0.3103448275862069,0.31690140845070425
CHEVROLET,TRAX,SUV - SMALL,0.06666666666666665,0.07692307692307693,AS6,X,0.19318181818181818,0.19277108433734938,0.19090909090909097,0.396551724137931,0.23004694835680753
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,0.5866666666666667,0.38461538461538464,A6,X,0.40909090909090906,0.4036144578313252,0.4090909090909091,0.1896551724137931,0.49530516431924876
JAGUAR,XF 20d AWD,MID-SIZE,0.14666666666666667,0.07692307692307693,AS8,D,0.13636363636363635,0.10843373493975902,0.12727272727272732,0.5172413793103448,0.21126760563380284
FORD,Transit Connect Wagon LWB FFV,SPECIAL PURPOSE VEHICLE,0.14666666666666667,0.07692307692307693,AS8,E,0.35984848484848475,0.42771084337349385,0.3818181818181819,0.20689655172413796,0.26291079812206575
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,0.5866666666666667,0.38461538461538464,A8,X,0.3977272727272726,0.40963855421686746,0.4045454545454546,0.1896551724137931,0.488262910798122
SUBARU,Crosstrek AWD,SUV - SMALL,0.14666666666666667,0.07692307692307693,M6,X,0.2386363636363636,0.24698795180722885,0.24090909090909096,0.32758620689655177,0.29107981220657275
SUBARU,WRX AWD,COMPACT,0.14666666666666667,0.07692307692307693,M6,Z,0.2689393939393939,0.2710843373493975,0.26818181818181824,0.29310344827586204,0.3262910798122065
CHEVROLET,Tahoe FFV,SUV - STANDARD,0.5866666666666667,0.38461538461538464,A6,E,0.6439393939393938,0.5963855421686746,0.6272727272727272,0.08620689655172414,0.4741784037558685
MASERATI,GRANTURISMO,SUBCOMPACT,0.5066666666666667,0.38461538461538464,AS6,Z,0.5303030303030302,0.4457831325301205,0.5,0.13793103448275862,0.607981220657277
PORSCHE,MACAN S,SUV - SMALL,0.28,0.23076923076923078,A7,Z,0.35984848484848475,0.37951807228915657,0.3681818181818182,0.20689655172413796,0.4342723004694835
PORSCHE,PANAMERA S,FULL-SIZE,0.28,0.23076923076923078,AM7,Z,0.3484848484848484,0.28915662650602403,0.3272727272727273,0.24137931034482757,0.38497652582159625
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,0.2533333333333333,0.07692307692307693,A6,D,0.3446969696969697,0.3975903614457831,0.3636363636363637,0.20689655172413796,0.539906103286385
BMW,X5 M,SUV - STANDARD,0.4666666666666667,0.38461538461538464,AS8,Z,0.4696969696969697,0.4879518072289155,0.47727272727272735,0.13793103448275862,0.5751173708920188
MERCEDES-BENZ,AMG C 63 S Coupe,SUBCOMPACT,0.41333333333333333,0.38461538461538464,A9,Z,0.36742424242424243,0.31325301204819267,0.35000000000000003,0.22413793103448276,0.42488262910798125
VOLKSWAGEN,Beetle Dune Convertible,SUBCOMPACT,0.14666666666666667,0.07692307692307693,AS6,X,0.18560606060606055,0.17469879518072287,0.18181818181818182,0.41379310344827586,0.2183098591549296
RAM,1500,PICKUP TRUCK - STANDARD,0.64,0.38461538461538464,A8,X,0.43560606060606055,0.4216867469879517,0.4318181818181818,0.1724137931034483,0.5234741784037559
HONDA,CIVIC HATCHBACK,FULL-SIZE,0.08000000000000002,0.07692307692307693,AV7,Z,0.14015151515151514,0.15662650602409636,0.1454545454545455,0.4827586206896552,0.1737089201877934
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,0.24000000000000005,0.23076923076923078,AS6,X,0.3522727272727272,0.433734939759036,0.3818181818181819,0.20689655172413796,0.4624413145539906
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,0.4666666666666667,0.38461538461538464,AS8,Z,0.38257575757575757,0.3192771084337349,0.3636363636363637,0.20689655172413796,0.43896713615023475
DODGE,DURANGO AWD FFV,SUV - STANDARD,0.36,0.23076923076923078,A8,E,0.5113636363636362,0.542168674698795,0.5227272727272727,0.12068965517241381,0.3615023474178404
BMW,M6 CABRIOLET,SUBCOMPACT,0.4666666666666667,0.38461538461538464,AM7,Z,0.4962121212121212,0.4518072289156626,0.48181818181818187,0.13793103448275862,0.568075117370892
GMC,YUKON XL 4WD,SUV - STANDARD,0.5866666666666667,0.38461538461538464,A6,X,0.4469696969696969,0.42771084337349385,0.440909090909091,0.15517241379310348,0.5187793427230046
AUDI,TT Coupe quattro,SUBCOMPACT,0.14666666666666667,0.07692307692307693,AM7,X,0.23106060606060608,0.2228915662650602,0.2318181818181818,0.3448275862068965,0.27464788732394363
JAGUAR,XFR,MID-SIZE,0.5466666666666666,0.38461538461538464,AS8,E,0.6477272727272727,0.6084337349397589,0.6363636363636365,0.08620689655172414,0.45539906103286387
DODGE,AVENGER,MID-SIZE,0.2,0.07692307692307693,A4,X,0.2651515151515151,0.24096385542168672,0.25909090909090915,0.3103448275862069,0.30281690140845063
